shared_label,taxonomy,has_image,image_count,image_source,has_audio,audio_count,audio_source,status
right whale,cetaceans,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
ringed seal,pinnipeds,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
risso's dolphin,cetaceans,True,20,HuggingFace dataset,True,67,HuggingFace dataset,MATCHED
ross seal,pinnipeds,False,0,MISSING → will download,True,50,HuggingFace dataset,UNMATCHED
rough-toothed dolphin,cetaceans,False,0,MISSING → will download,True,50,HuggingFace dataset,UNMATCHED
sea otter,mustelids,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
short-finned pilot whale,cetaceans,False,0,MISSING → will download,True,67,HuggingFace dataset,UNMATCHED
south american sea lion,pinnipeds,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
south asian river dolphin,cetaceans,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
southern elephant seal,pinnipeds,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
southern right whale,cetaceans,False,0,MISSING → will download,True,25,HuggingFace dataset,UNMATCHED
sperm whale,cetaceans,True,20,HuggingFace dataset,True,75,HuggingFace dataset,MATCHED
spinner dolphin,cetaceans,True,22,HuggingFace dataset,True,114,HuggingFace dataset,MATCHED
spotted seal,pinnipeds,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
steller sea lion,pinnipeds,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
striped dolphin,cetaceans,True,37,HuggingFace dataset,True,81,HuggingFace dataset,MATCHED
vaquita,cetaceans,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
walrus,pinnipeds,True,40,HuggingFace dataset,True,38,HuggingFace dataset,MATCHED
weddell seal,pinnipeds,True,20,HuggingFace dataset,True,2,HuggingFace dataset,MATCHED
west african manatee,sirenians,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
west indian manatee,sirenians,True,20,HuggingFace dataset,False,0,MISSING → will download,UNMATCHED
white-beaked dolphin,cetaceans,True,20,HuggingFace dataset,True,57,HuggingFace dataset,MATCHED
white-sided dolphin,cetaceans,True,24,HuggingFace dataset,True,55,HuggingFace dataset,MATCHED
